"Value","Std.Error","DF","t-value","p-value","hour"
0.0907343580325256,0.0374673711435856,60,2.4216900002086,0.0184880005009257,0
0.0809838364044818,0.0357778982580719,60,2.26351575546255,0.0272336213239255,1
0.0748784775230398,0.0344629353585709,60,2.17272489252479,0.0337612909346358,2
0.0836284083132703,0.0337636758227707,60,2.47687511135473,0.0160896095051345,3
0.104578879880406,0.033828358020548,60,3.09145598544518,0.00301970363029377,4
0.122597918536481,0.0312141985799633,60,3.92763306808644,0.000224153339726483,5
0.116804592230528,0.0285205413627004,60,4.09545494754481,0.000128061186601903,6
-0.00286570004886546,0.0607900402678923,60,-0.047140946711612,0.962557453544739,7
-0.260421964322305,0.150491063769164,60,-1.73048125117756,0.0886849662701576,8
-0.504949354572731,0.214840472890076,60,-2.35034557399755,0.022061850538549,9
-0.618940987553169,0.236625914330009,60,-2.61569401350508,0.0112473358974903,10
-0.659056693328571,0.229431162592923,60,-2.87256833762346,0.00562101101320614,11
-0.758734787825753,0.2345355961811,60,-3.23505173705012,0.00198020444308378,12
-0.80347103933855,0.236240895517743,60,-3.4010666848247,0.00119950796274613,13
-0.754406201349666,0.235893464206006,60,-3.19808013286388,0.00220978311251782,14
-0.594025041948579,0.227617909619225,60,-2.60974649552975,0.0114240149489896,15
-0.114463769667787,0.132356201449269,60,-0.864816067660116,0.39058429615497,17
0.0639955007686917,0.0621032451918211,60,1.03046951203638,0.30692574922592,18
0.161169283591484,0.0431558836391488,60,3.7345842559757,0.00042066450696241,19
0.182878237261496,0.0452910614610226,60,4.03784392244549,0.000155392701544882,20
0.187133084140116,0.0456541113722374,60,4.0989316956438,0.00012656961024095,21
0.183478829205221,0.0442003592800942,60,4.15107099113224,0.000106116684438353,22
0.17637179893758,0.0418895606388032,60,4.21039982869153,8.67240485973144e-05,23
